Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 1156397925 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
   315 |  JC69 |        19 |    288 |               9 |          8 |      Fixed 
   316 |  JC69 |        20 |    216 |             107 |          4 |      Fixed 
   317 |  JC69 |        19 |    174 |               0 |          1 |      Fixed 
   318 |  JC69 |        16 |    223 |               4 |          5 |      Fixed 
   319 |  JC69 |        20 |   1309 |            1173 |         46 |      Fixed 
   320 |  JC69 |        18 |     55 |               4 |          5 |      Fixed 
   321 |  JC69 |        14 |     99 |               3 |          4 |      Fixed 
   322 |  JC69 |        20 |    109 |               2 |          4 |      Fixed 
   323 |  JC69 |         3 |    287 |              18 |          6 |      Fixed 
   324 |  JC69 |        19 |    208 |              12 |         12 |      Fixed 
   325 |  JC69 |        11 |    180 |              12 |         12 |      Fixed 
   326 |  JC69 |        10 |    244 |              15 |         10 |      Fixed 
   327 |  JC69 |        13 |    280 |              31 |         13 |      Fixed 
   328 |  JC69 |        19 |    251 |              17 |         10 |      Fixed 
   329 |  JC69 |         6 |    274 |              83 |         16 |      Fixed 
   330 |  JC69 |        10 |    284 |              17 |         16 |      Fixed 
   331 |  JC69 |         2 |    282 |               6 |          3 |      Fixed 
   332 |  JC69 |        20 |     91 |               1 |          2 |      Fixed 
   333 |  JC69 |         7 |    157 |              33 |          9 |      Fixed 
   334 |  JC69 |         3 |    280 |             146 |          8 |      Fixed 
   335 |  JC69 |        17 |    146 |              11 |         11 |      Fixed 
   336 |  JC69 |        12 |    499 |             239 |         19 |      Fixed 
   337 |  JC69 |        20 |    182 |              85 |          6 |      Fixed 
   338 |  JC69 |        16 |    110 |              29 |          3 |      Fixed 
   339 |  JC69 |        19 |    206 |               9 |          9 |      Fixed 
   340 |  JC69 |         2 |    283 |               2 |          3 |      Fixed 
   341 |  JC69 |        20 |    365 |             135 |         13 |      Fixed 
   342 |  JC69 |        20 |    450 |             206 |         15 |      Fixed 
   343 |  JC69 |         8 |    534 |             148 |         17 |      Fixed 
   344 |  JC69 |         2 |    108 |               2 |          2 |      Fixed 
   345 |  JC69 |        20 |    161 |               9 |          7 |      Fixed 
   346 |  JC69 |        18 |     58 |               2 |          3 |      Fixed 
   347 |  JC69 |        20 |    548 |             229 |         23 |      Fixed 
   348 |  JC69 |        18 |     67 |               3 |          4 |      Fixed 
   349 |  JC69 |        13 |    114 |               2 |          2 |      Fixed 
   350 |  JC69 |        14 |    455 |              29 |         14 |      Fixed 
   351 |  JC69 |         3 |    516 |             241 |          3 |      Fixed 
   352 |  JC69 |         3 |     55 |               0 |          1 |      Fixed 
   353 |  JC69 |        17 |    140 |              16 |          8 |      Fixed 
   354 |  JC69 |         3 |    279 |              10 |          7 |      Fixed 
